formula,AIC,BIC
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + session + coding_section_no + problem_order + problem_set + pain + physical_symptoms + discomfort + sensations + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),-134.254931,-75.633687
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * session + (1|participant_id),81.717937,105.166434
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * session + (1|problem_id),100.483844,123.932341
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * session + (1|participant_id) + (1|problem_id),-131.012907,-103.656327
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * session + (1|participant_id) + (1|participant_id:TMS_Type),83.717937,111.074517
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * session + (1|problem_id) + (1|problem_id:TMS_Type),102.483844,129.840424
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * session + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),-130.483913,-99.219250
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * session + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),-129.012907,-97.748244
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * session + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),-128.483913,-93.311167
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * coding_section_no + (1|participant_id),79.296836,102.745334
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * coding_section_no + (1|problem_id),102.772056,126.220554
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * coding_section_no + (1|participant_id) + (1|problem_id),-129.135846,-101.779266
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * coding_section_no + (1|participant_id) + (1|participant_id:TMS_Type),81.296836,108.653417
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * coding_section_no + (1|problem_id) + (1|problem_id:TMS_Type),104.770891,132.127472
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * coding_section_no + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),-131.323851,-100.059187
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * coding_section_no + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),-127.135846,-95.871183
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * coding_section_no + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),-129.330755,-94.158008
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * problem_order + (1|participant_id),75.059761,98.508259
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * problem_order + (1|problem_id),100.825739,124.274236
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * problem_order + (1|participant_id) + (1|problem_id),-130.545721,-103.189140
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * problem_order + (1|participant_id) + (1|participant_id:TMS_Type),77.059761,104.416342
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * problem_order + (1|problem_id) + (1|problem_id:TMS_Type),102.825739,130.182319
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * problem_order + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),-132.124127,-100.859464
